ticker,close_date,close,sma8,sma21,avg_vol,last_vol
ACM,2026-07-24,70.56,68.71,68.69,1627383,1348471
AER,2026-07-24,151.3,149.06,148.8,1014779,700595
ALSN,2026-07-24,122.34,116.79,116.29,1566851,600828
AVNT,2026-07-24,37.6,36.94,36.88,928896,367839
BUD,2026-07-24,81.66,81.19,81.07,1989966,1148837
CB,2026-07-24,359.75,349.61,349.22,2122197,1915244
CHD,2026-07-24,97.64,97.35,97.35,1665926,862436
CLF,2026-07-24,11.93,9.9,9.77,24890349,69852797
CNK,2026-07-24,32.71,31.4,31.0,2555045,1288303
IMAX,2026-07-24,43.38,40.07,39.63,1505151,2213638
KT,2026-07-24,18.56,17.89,17.8,1340201,1101928
L,2026-07-24,117.9,114.78,114.74,780139,446999
LMT,2026-07-24,582.6,527.37,523.29,1270369,1545880
MO,2026-07-24,72.99,72.83,72.52,7090916,4794537
QMCO,2026-07-24,11.1,10.91,10.82,875413,346876
RHP,2026-07-24,133.09,128.41,127.62,620319,522490
SON,2026-07-24,58.23,55.68,55.55,1206824,1098582
THC,2026-07-24,233.2,200.61,197.99,1417075,4316007
