ticker,close_date,close,current_rsi,price_low1,price_low2,rsi_low1,rsi_low2,avg_vol
AAL,2026-08-25,13.95,40.6,13.56,13.52,30.0,34.2,54021107
ACI,2026-08-25,12.38,47.9,12.01,11.98,40.9,41.2,7264167
AGCO,2026-08-25,110.94,57.2,101.85,98.45,32.7,35.4,1023902
ALHC,2026-08-25,13.59,37.4,13.2,12.78,28.7,30.1,5818022
ALIT,2026-08-25,14.96,47.6,13.51,13.41,38.7,40.0,595108
AXS,2026-08-25,99.41,37.2,99.43,98.55,32.0,34.0,739646
BLLN,2026-08-25,100.07,44.1,91.65,87.99,32.6,32.7,846801
BROS,2026-08-25,51.08,37.7,49.57,48.44,24.3,27.0,4603273
DOLE,2026-08-25,13.54,48.9,12.96,12.92,31.5,34.9,1172128
ESTA,2026-08-25,72.15,32.3,74.28,71.52,27.0,29.9,551434
FLUT,2026-08-25,102.06,52.0,92.91,92.89,34.6,38.8,3546155
HR,2026-08-25,19.39,39.7,19.15,19.11,30.4,31.0,3490140
HUT,2026-08-25,85.5,45.0,88.18,80.79,38.4,38.9,5169609
KNF,2026-08-25,65.8,38.2,66.8,65.45,32.9,33.2,902300
LFTO,2026-08-25,18.7,37.2,21.96,18.36,33.5,35.1,958888
MARA,2026-08-25,11.83,56.7,10.05,8.96,34.4,35.0,47767587
MGM,2026-08-25,43.34,39.1,43.36,43.17,35.4,36.0,2367268
MQ,2026-08-25,16.31,49.2,15.57,15.48,38.9,40.3,1079845
MSTR,2026-08-25,126.83,70.1,93.28,92.52,42.5,43.5,22952058
ONT,2026-08-25,16.0,43.5,15.09,14.66,32.6,36.6,919770
PFGC,2026-08-25,104.94,40.7,104.48,103.34,34.4,35.4,1800940
RDDT,2026-08-25,162.45,49.4,153.45,150.31,41.0,41.9,9191944
SEZL,2026-08-25,124.08,41.4,118.0,117.18,33.4,35.6,834825
SGI,2026-08-25,64.09,41.0,64.08,63.73,37.1,38.1,3166909
SMMT,2026-08-25,13.36,47.4,12.55,12.43,33.1,38.0,4975282
SRAD,2026-08-25,12.91,42.4,12.99,12.61,38.3,38.3,3063920
SVC,2026-08-25,7.96,44.0,7.88,7.83,35.4,40.4,1607601
TIMB,2026-08-25,18.26,42.5,18.27,17.28,23.0,25.0,606989
TKC,2026-08-25,5.42,42.3,5.42,5.4,39.0,39.4,2053974
TROX,2026-08-25,5.51,40.7,5.66,5.54,35.8,39.1,2885163
VICI,2026-08-25,26.29,47.5,25.98,25.91,41.4,41.4,10131630
VPG,2026-08-25,64.45,36.8,64.88,62.26,31.0,34.1,752007
