ticker,insider_name,title,transaction_date,shares,price,total_value,filed_date
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,157096.0,215.7,33885465.81,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,157096.0,215.7,33885465.81,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,157096.0,215.7,33885465.81,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69861.0,216.4,15117801.64,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69861.0,216.4,15117801.64,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69861.0,216.4,15117801.64,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69018.0,215.67,14885291.51,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69018.0,215.67,14885291.51,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,69018.0,215.67,14885291.51,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,575161.253,24.56,14124234.89,20260814
INTC,TAN LIP BU,CEO,2026-08-11,105263.0,95.0,9999985.0,20260814
INTC,TAN LIP BU,CEO,2026-08-11,105263.0,95.0,9999985.0,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,31364.0,216.38,6786479.59,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,31364.0,216.38,6786479.59,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-13,31364.0,216.38,6786479.59,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,26111.0,214.63,5604117.76,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,26111.0,214.63,5604117.76,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,26111.0,214.63,5604117.76,20260814
AAT,RADY ERNEST S,Executive Chairman,2026-08-13,100000.0,22.86,2286000.0,20260814
AAT,RADY ERNEST S,Executive Chairman,2026-08-13,100000.0,22.86,2286000.0,20260814
AAT,RADY ERNEST S,Executive Chairman,2026-08-14,50000.0,22.79,1139500.0,20260814
AAT,RADY ERNEST S,Executive Chairman,2026-08-14,50000.0,22.79,1139500.0,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,5100.0,217.18,1107603.21,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,5100.0,217.18,1107603.21,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,5100.0,217.18,1107603.21,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,4410.0,213.7,942417.44,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,4410.0,213.7,942417.44,20260814
RSG,"CASCADE INVESTMENT, L.L.C.",10%+ Owner,2026-08-12,4410.0,213.7,942417.44,20260814
CODI,ENTERLINE LARRY L,Insider,2026-08-13,67114.0,12.42,833394.81,20260814
CODI,ENTERLINE LARRY L,Insider,2026-08-13,67114.0,12.42,833394.81,20260814
INFQ,MAVERICK CAPITAL LTD,Director,2026-08-14,52071.0,12.42,646836.38,20260814
INFQ,MAVERICK CAPITAL LTD,Director,2026-08-14,52071.0,12.42,646836.38,20260814
INFQ,MAVERICK CAPITAL LTD,Director,2026-08-14,52071.0,12.42,646836.38,20260814
INFQ,MAVERICK CAPITAL LTD,Director,2026-08-14,52071.0,12.42,646836.38,20260814
MTDR,Foran Joseph Wm,Chairman and CEO,2026-08-12,10000.0,52.16,521600.0,20260814
MTDR,Foran Joseph Wm,Chairman and CEO,2026-08-12,10000.0,52.16,521600.0,20260814
ABCL,Hayden Michael R,Director,2026-08-12,46387.0,10.37,481033.19,20260814
ABCL,Hayden Michael R,Director,2026-08-12,46387.0,10.37,481033.19,20260814
BPRN,TUCHMAN MARTIN,Insider,2026-08-12,10534.0,42.98,452730.25,20260814
BPRN,TUCHMAN MARTIN,Insider,2026-08-12,10534.0,42.98,452730.25,20260814
NONE,"Audax Private Credit Business, LP",Insider,2026-08-12,17184.51,24.56,422000.01,20260814
