ticker,close_date,close,sma20,sma50,avg_vol,last_vol
ABEO,2026-07-13,7.0,5.49,5.47,6095116,6459322
AGM,2026-07-13,205.5,172.91,171.2,600647,898246
CART,2026-07-13,45.82,41.42,41.28,20112227,24435453
CUZ,2026-07-13,31.76,25.84,25.61,9109725,7388515
EVR,2026-07-13,341.54,327.97,327.93,2589226,2703324
FA,2026-07-13,22.35,14.79,14.49,7050650,12682016
FENC,2026-07-13,10.5,8.34,8.3,1206959,1149387
FUN,2026-07-13,17.53,19.6,19.4,9988944,14262093
ITGR,2026-07-13,95.42,88.78,88.25,2823470,2897113
JFR,2026-07-13,7.69,7.34,7.33,3672999,2932385
KFY,2026-07-13,78.61,66.98,66.89,2778743,2843768
MNPR,2026-07-13,111.12,67.1,66.68,887493,1613564
OPAD,2026-07-13,5.18,2.28,2.26,2554304,211798
PAG,2026-07-13,202.66,166.31,165.32,1452809,1954591
PERI,2026-07-13,9.37,9.45,9.43,2145417,1782340
RMAX,2026-07-13,11.1,8.46,8.31,2769846,2186633
SAIC,2026-07-13,115.51,101.17,100.42,2845999,2496286
SG,2026-07-13,7.08,7.36,7.34,24876350,50013802
SKYH,2026-07-13,10.42,9.68,9.63,776707,869159
TBI,2026-07-13,8.49,5.54,5.37,1778694,1857696
TROW,2026-07-13,117.35,100.9,100.12,11113769,12543180
UHAL,2026-07-13,71.3,55.26,54.78,1191931,1075434
